제목,작가,삽화가,별점,다운로드수,연재일,장르,하트수,이미지주소
판사님은 내 취향,만다라,재히몬,9.88,다운로드 222만,"월, 금 연재",로맨스,"3,714",./img_data/판사님은 내 취향.jpg
의도적인 밀착,윤아진,라바니즈,9.91,다운로드 50만,"월, 금 연재",로맨스,"1,399",./img_data/의도적인 밀착.jpg
찬란한 이혼,알렛(소나무다),DT,9.86,다운로드 90만,"수, 토 연재",로맨스,"1,762",./img_data/찬란한 이혼.jpg
완벽한 파트너,오하라,Aggie.R,9.89,다운로드 51만,"화, 금 연재",로맨스,"1,704",./img_data/완벽한 파트너.jpg
어느 날 남친을 분실했다,왕기대,샛다,9.76,다운로드 14만,"수, 토 연재",로맨스,"1,094",./img_data/어느 날 남친을 분실했다.jpg
완벽한 결혼의 정석,이범배,맥시멈,9.93,다운로드 710만,"수, 토 연재",로맨스,"6,482",./img_data/완벽한 결혼의 정석.jpg
나랑 해요,별규,PAGO,9.92,다운로드 119만,"목, 일 연재",로맨스,"4,667",./img_data/나랑 해요.jpg
멜로의 대가,문지효,세오,9.88,다운로드 38만,"월, 금 연재",로맨스,"1,347",./img_data/멜로의 대가.jpg
신선한 후궁님,김정화(카밀),나래,9.93,다운로드 47만,"수, 토 연재",로맨스,"1,874",./img_data/신선한 후궁님.jpg
결혼을 피하는 방법,은미수,kaya,9.2,다운로드 36만,"목, 일 연재",로맨스,"1,296",./img_data/결혼을 피하는 방법.jpg
구남친은 싱글 대디,퐁당,비이커,9.81,다운로드 89만,"수, 일 연재",로맨스,"2,298",./img_data/구남친은 싱글 대디.jpg
치명적인 내 여자,탐이나,맥시멈,9.92,다운로드 95만,"수, 일 연재",로맨스,"2,967",./img_data/치명적인 내 여자.jpg
어쩌다 마주친 로맨스,오희,샛다,9.93,다운로드 64만,"화, 금 연재",로맨스,"2,101",./img_data/어쩌다 마주친 로맨스.jpg
불순한 사내 동거,서이나,별,9.65,다운로드 48만,"수, 토 연재",로맨스,"1,564",./img_data/불순한 사내 동거.jpg
언더커버 아일랜드,오세공,BADegg,9.86,다운로드 19만,"월, 금 연재",로맨스,722,./img_data/언더커버 아일랜드.jpg
말 많은 연애,베소라,톷추,9.85,다운로드 40만,"목, 일 연재",로맨스,"1,962",./img_data/말 많은 연애.jpg
원수가 나를 유혹할 때,최서희,yy,9.76,다운로드 67만,"월, 목 연재",로맨스,"1,403",./img_data/원수가 나를 유혹할 때.jpg
달콤하게 체인지,노승아,Kymawave,9.88,다운로드 38만,"화, 토 연재",로맨스,"2,214",./img_data/달콤하게 체인지.jpg
팔려 온 신부,시크크,김스타,9.96,다운로드 270만,"화, 금 연재",로맨스,"5,198",./img_data/팔려 온 신부.jpg
완벽한 연하,하연우,JYUN,9.96,다운로드 80만,"월, 목 연재",로맨스,"2,974",./img_data/완벽한 연하.jpg
짝사랑을 완결합니다,온서,매기,9.85,다운로드 19만,"화, 토 연재",로맨스,798,./img_data/짝사랑을 완결합니다.jpg
너무 잘 보이는 그녀,벚꽃그리고,still,9.95,다운로드 63만,"수, 일 연재",로맨스,"2,094",./img_data/너무 잘 보이는 그녀.jpg
열녀박씨계약결혼뎐,김너울,B,9.85,다운로드 105만,"화, 금 연재",로맨스,"1,574",./img_data/열녀박씨계약결혼뎐.jpg
공주 폭군을 유혹하다,진숙,Aggie.R,9.68,다운로드 67만,"월, 금 연재",로맨스,"3,258",./img_data/공주 폭군을 유혹하다.jpg
숨결을 기억해,Lunar 이지연,녹슨유리,9.85,다운로드 68만,"수, 일 연재",로맨스,"1,897",./img_data/숨결을 기억해.jpg
이 죽일 놈의 결혼,달콤J,Aggie.R,9.91,다운로드 70만,"화, 토 연재",로맨스,"2,706",./img_data/이 죽일 놈의 결혼.jpg
본능적인 그대,이달아,태자,9.89,다운로드 161만,"월, 금 연재",로맨스,"5,530",./img_data/본능적인 그대.jpg
장희빈이 되지 않겠습니다,최윤정(두잇),noaru,9.93,다운로드 101만,"목, 일 연재",로맨스,"2,268",./img_data/장희빈이 되지 않겠습니다.jpg
놀아주는 여자,박수정(방울마마),율피,9.94,다운로드 125만,"수, 토 연재",로맨스,"3,609",./img_data/놀아주는 여자.jpg
이혼할 예정입니다,령후,임향,9.86,다운로드 108만,"목, 일 연재",로맨스,"2,068",./img_data/이혼할 예정입니다.jpg
합의해주세요,이경미,이신,9.95,다운로드 45만,"수, 토 연재",로맨스,"1,438",./img_data/합의해주세요.jpg
매일매일 기대해,플라비,Rabbit J,9.97,다운로드 141만,"목, 일 연재",로맨스,"4,376",./img_data/매일매일 기대해.jpg
팀장님은 신혼이 피곤하다,강하다,웃는해,9.95,다운로드 379만,"목, 일 연재",로맨스,"9,580",./img_data/팀장님은 신혼이 피곤하다.jpg
간택-왕들의 향연,윤이수,pepper,9.98,다운로드 731만,"수, 일 연재",로맨스,"16,935",./img_data/간택-왕들의 향연.jpg
손끝에 빛나는 나비,이은비,이랑,9.92,다운로드 20만,"월, 금 연재",로맨스,"3,212",./img_data/손끝에 빛나는 나비.jpg
옆집에 남편이 산다,이재익,녹슨유리,9.91,다운로드 59만,"화, 토 연재",로맨스,"1,640",./img_data/옆집에 남편이 산다.jpg
그 남자의 은밀한 하루,백묘,녹슨유리,9.94,다운로드 253만,"월, 금 연재",로맨스,"4,741",./img_data/그 남자의 은밀한 하루.jpg
모든 숨마다 너,김결,NOVA,9.92,다운로드 479만,"수, 토 연재",로맨스,"6,381",./img_data/모든 숨마다 너.jpg
은밀한 재택근무,주황연,반지,9.91,다운로드 352만,"월, 목 연재",로맨스,"8,721",./img_data/은밀한 재택근무.jpg
후계자를 위하여,김류해,한소,9.94,다운로드 49만,"월, 금 연재",로맨스,"1,482",./img_data/후계자를 위하여.jpg
나를 당겨줘,하훤,sona,9.92,다운로드 44만,"월, 목 연재",로맨스,"1,636",./img_data/나를 당겨줘.jpg
나의 불편한 상사,이다홍,샛다,9.95,다운로드 340만,"화, 금 연재",로맨스,"6,649",./img_data/나의 불편한 상사.jpg
퇴근 후에 만나요,로즈빈,정이나,9.94,다운로드 352만,"수, 일 연재",로맨스,"8,666",./img_data/퇴근 후에 만나요.jpg
그 연하남을 연주하는 방법,태봄,우렁,9.74,다운로드 17만,"수, 일 연재",로맨스,"1,446",./img_data/그 연하남을 연주하는 방법.jpg
안녕 나의 꼬꼬맨,글쓰는 귀신,구름,9.82,다운로드 33만,"목, 일 연재",로맨스,"1,634",./img_data/안녕 나의 꼬꼬맨.jpg
잘 키운 연하남,금설,sona,9.73,다운로드 83만,"수, 토 연재",로맨스,"2,437",./img_data/잘 키운 연하남.jpg
고혹적 악마에 꽂히다,신들린연애,BADegg,9.83,다운로드 70만,"화, 목 연재",로맨스,"2,625",./img_data/고혹적 악마에 꽂히다.jpg
그림자 신부,이새인,ZAF,9.97,다운로드 276만,"월, 목 연재",로맨스,"4,821",./img_data/그림자 신부.jpg
파고드는 사이,안테,aczer,9.95,다운로드 350만,"수, 토 연재",로맨스,"8,123",./img_data/파고드는 사이.jpg
수상한 너 이상한 나,리나리아L,still,9.95,다운로드 48만,"화, 금 연재",로맨스,"1,629",./img_data/수상한 너 이상한 나.jpg
부암동 로맨스,정재연,맥시멈,9.95,다운로드 107만,"수, 토 연재",로맨스,"2,675",./img_data/부암동 로맨스.jpg
아찔한 전남편,별규,구름,9.93,다운로드 422만,"화, 금 연재",로맨스,"7,548",./img_data/아찔한 전남편.jpg
혼인신고 후 취소불가,달로,yy,9.9,다운로드 138만,"월, 목 연재",로맨스,"2,852",./img_data/혼인신고 후 취소불가.jpg
혼전계약서,플아다,팻녹,9.75,다운로드 567만,"화, 토 연재",로맨스,"13,864",./img_data/혼전계약서.jpg
너에게만 유혹적인,설래인,still,9.94,다운로드 180만,"화, 토 연재",로맨스,"3,309",./img_data/너에게만 유혹적인.jpg
선녀에게 키스를,김서울,BUN,9.87,다운로드 23만,"월, 금 연재",로맨스,"1,083",./img_data/선녀에게 키스를.jpg
운명 같은 소리 하네,도담라이터,톷추,9.73,다운로드 36만,"월, 금 연재",로맨스,"1,288",./img_data/운명 같은 소리 하네.jpg
키스 식스 센스,갓녀,엔리,9.95,다운로드 339만,"수, 일 연재",로맨스,"6,284",./img_data/키스 식스 센스.jpg
남편을 기억하는 법,설하린,라바니즈,9.75,다운로드 38만,"수, 일 연재",로맨스,"1,976",./img_data/남편을 기억하는 법.jpg
홍 의관의 은밀한 비밀,서이나,비이커,9.92,다운로드 242만,"화, 토 연재",로맨스,"5,260",./img_data/홍 의관의 은밀한 비밀.jpg
귀환,아라휘,Jiya,9.94,다운로드 58만,"화, 금 연재",로맨스,"2,691",./img_data/귀환.jpg
상담이 필요한 남자,레이먼,sona,9.51,다운로드 15만,"월, 목 연재",로맨스,"1,050",./img_data/상담이 필요한 남자.jpg
젤리 블랙 라떼,Carrie,JYUN,9.93,다운로드 24만,"화, 금 연재",로맨스,"2,199",./img_data/젤리 블랙 라떼.jpg
과거의 향기,하수영,DT,9.9,다운로드 56만,"수, 토 연재",로맨스,"1,640",./img_data/과거의 향기.jpg
너에게만 집착,메텔(정유나),꿀빵,9.92,다운로드 64만,"화, 토 연재",로맨스,"1,301",./img_data/너에게만 집착.jpg
첫사랑입니다만,이노,유성,9.95,다운로드 274만,"목, 일 연재",로맨스,"3,833",./img_data/첫사랑입니다만.jpg
