제목,작가,삽화가,별점,다운로드수,연재일,장르,하트수,이미지주소
내 남편과 결혼해줘,성소작,아리아,9.81,"다운로드 2,488만","화, 금 연재",로맨스,"13,245",./img_data/내 남편과 결혼해줘.jpg
오빠는 왜 안 돼요,벚꽃그리고,라에,9.91,다운로드 199만,"월, 금 연재",로맨스,"3,969",./img_data/오빠는 왜 안 돼요.jpg
야심한 파트너,타그트라움,BADegg,9.89,다운로드 156만,"화, 금 연재",로맨스,"2,795",./img_data/야심한 파트너.jpg
이 결혼 새로 고침,핑크티,Aggie.R,9.89,다운로드 283만,"화, 금 연재",로맨스,"5,242",./img_data/이 결혼 새로 고침.jpg
감 비서가 고장났다,파란드,JYUN,9.5,다운로드 186만,"수, 토 연재",로맨스,"2,185",./img_data/감 비서가 고장났다.jpg
죽어도 다시 한번,강하다,웃는해,9.87,다운로드 54만,"목, 일 연재",로맨스,"3,044",./img_data/죽어도 다시 한번.jpg
달콤한 나의 침입자,시니컬 앨리스,별,9.82,다운로드 79만,"목, 일 연재",로맨스,"1,704",./img_data/달콤한 나의 침입자.jpg
환야당의 발칙한 밤,월우,비이커,9.93,다운로드 66만,"월, 금 연재",로맨스,"1,695",./img_data/환야당의 발칙한 밤.jpg
운명을 피하는 방법,긴봄,sona,9.84,다운로드 81만,"월, 금 연재",로맨스,"1,506",./img_data/운명을 피하는 방법.jpg
완벽한 부부는 없다,이다홍,익현,9.86,다운로드 693만,"목, 일 연재",로맨스,"10,115",./img_data/완벽한 부부는 없다.jpg
오늘부터 신혼,주황연,맑은물,9.88,다운로드 415만,"화, 토 연재",로맨스,"6,695",./img_data/오늘부터 신혼.jpg
다비 아찔하게 흐르는,이은비,이랑,9.91,다운로드 52만,"월, 목 연재",로맨스,"3,242",./img_data/다비 아찔하게 흐르는.jpg
이혼의 정석,Hirachell,Hosyo,9.83,다운로드 101만,"수, 토 연재",로맨스,"2,477",./img_data/이혼의 정석.jpg
사내에서 하는 나쁜 짓,놀토랑,MINIM,9.87,다운로드 119만,"수, 일 연재",로맨스,"2,142",./img_data/사내에서 하는 나쁜 짓.jpg
당신만 모르는 사이,백묘,녹슨유리,9.89,다운로드 92만,"월, 금 연재",로맨스,"2,852",./img_data/당신만 모르는 사이.jpg
위험한 거짓말,아라휘,DK,9.89,다운로드 66만,"화, 금 연재",로맨스,"2,227",./img_data/위험한 거짓말.jpg
월하정인,놀마,BADegg,9.96,다운로드 127만,"월, 목 연재",로맨스,"3,617",./img_data/월하정인.jpg
그깟 자존심 따위,주세이,우렁,9.67,다운로드 83만,"수, 토 연재",로맨스,"1,447",./img_data/그깟 자존심 따위.jpg
서류상 아빠,애디스,별,9.74,다운로드 45만,"월, 목 연재",로맨스,"1,502",./img_data/서류상 아빠.jpg
첫날밤만 세 번째,갓녀,케이,9.88,다운로드 266만,"수, 일 연재",로맨스,"6,625",./img_data/첫날밤만 세 번째.jpg
그대를 뺏겠습니다,이재익,녹슨유리,9.76,다운로드 30만,"수, 일 연재",로맨스,"1,366",./img_data/그대를 뺏겠습니다.jpg
가짜 결혼,최나루,알터,9.81,다운로드 77만,"월, 목 연재",로맨스,"1,286",./img_data/가짜 결혼.jpg
혼인을 요구합니다,채반,zigi,9.84,다운로드 23만,"목, 일 연재",로맨스,"1,038",./img_data/혼인을 요구합니다.jpg
찐한 고백,로즈빈,케이,9.92,다운로드 191만,"수, 일 연재",로맨스,"4,490",./img_data/찐한 고백.jpg
재벌가 비밀의 시간,블랑드,sona,9.83,다운로드 70만,"화, 금 연재",로맨스,"1,846",./img_data/재벌가 비밀의 시간.jpg
다시 만난 애 아빠,정가별,퀀퀀,9.93,다운로드 325만,"화, 토 연재",로맨스,"5,659",./img_data/다시 만난 애 아빠.jpg
사내 부부,빵양이,라바니즈,9.93,다운로드 425만,"화, 토 연재",로맨스,"5,812",./img_data/사내 부부.jpg
순수한 동거생활,플아다,팻녹,9.86,다운로드 512만,"화, 토 연재",로맨스,"12,358",./img_data/순수한 동거생활.jpg
그 밤을 걷다 너를 주웠다,욘더,상어늪,9.96,다운로드 38만,"화, 토 연재",로맨스,"1,679",./img_data/그 밤을 걷다 너를 주웠다.jpg
오빠집이 비어서,태소영,우렁,9.92,다운로드 540만,"월, 목 연재",로맨스,"6,679",./img_data/오빠집이 비어서.jpg
달콤한 배신자,하수영,DT,9.9,다운로드 52만,"월, 목 연재",로맨스,980,./img_data/달콤한 배신자.jpg
부적절한 유혹,Carrie,유정,9.86,다운로드 40만,"목, 일 연재",로맨스,"1,404",./img_data/부적절한 유혹.jpg
낭군을 죽여라,권도하,매기,9.89,다운로드 25만,"화, 토 연재",로맨스,"1,236",./img_data/낭군을 죽여라.jpg
로맨틱 캐스팅,송정원,몰리비,9.91,다운로드 38만,"수, 일 연재",로맨스,"1,052",./img_data/로맨틱 캐스팅.jpg
