제목,작가,삽화가,별점,다운로드수,연재일,장르,하트수,이미지주소
사랑의 새싹약국,이유진,반지,9.95,다운로드 110만,"수, 토 연재",로맨스,"4,661",./img_data/사랑의 새싹약국.jpg
모던 스캔들,고라니(Gorani),꽁,9.93,다운로드 37만,"화, 토 연재",로맨스,"3,959",./img_data/모던 스캔들.jpg
입술이 너무해,갓녀,yy,9.87,다운로드 150만,"월, 금 연재",로맨스,"5,687",./img_data/입술이 너무해.jpg
조선공주실록,유오디아,볕,9.85,다운로드 42만,"목, 일 연재",로맨스,"4,021",./img_data/조선공주실록.jpg
첫사랑 꽃이 피었습니다,아라휘,Jiya,9.91,다운로드 47만,"화, 금 연재",로맨스,"3,387",./img_data/첫사랑 꽃이 피었습니다.jpg
과속 연애,이경미,이신,9.97,다운로드 76만,"화, 금 연재",로맨스,"3,697",./img_data/과속 연애.jpg
참을 수 없어,최온,에시,9.96,다운로드 48만,"화, 토 연재",로맨스,"3,890",./img_data/참을 수 없어.jpg
밀어:거울의 속삭임,비연,리마,9.94,다운로드 119만,"수, 일 연재",로맨스,"4,723",./img_data/밀어:거울의 속삭임.jpg
수상한 문과장,벚꽃그리고,라바니즈,9.92,다운로드 292만,"수, 일 연재",로맨스,"8,524",./img_data/수상한 문과장.jpg
영국남자,초록반,반지,9.89,다운로드 127만,"월, 목 연재",로맨스,"4,385",./img_data/영국남자.jpg
반드시 해피엔딩,플아다,팻녹,9.91,"다운로드 1,480만","수, 토 연재",로맨스,"26,266",./img_data/반드시 해피엔딩.jpg
나쁜 계집애,도담라이터,정이나,9.78,다운로드 148만,"월, 금 연재",로맨스,"7,733",./img_data/나쁜 계집애.jpg
로맨스가 가능해,송정원,sona,9.9,다운로드 111만,"목, 일 연재",로맨스,"6,177",./img_data/로맨스가 가능해.jpg
나를 설레게 하는 그대,탐이나,DT,9.93,다운로드 185만,"수, 일 연재",로맨스,"6,033",./img_data/나를 설레게 하는 그대.jpg
너 말고 니 형,용감한 자매,JYUN,9.8,다운로드 31만,"수, 토 연재",로맨스,"2,774",./img_data/너 말고 니 형.jpg
키스 더 시크릿,노승아,꽁,9.97,다운로드 69만,"월, 목 연재",로맨스,"5,967",./img_data/키스 더 시크릿.jpg
다짜고짜 운명이래,한혜미,Kymawave,9.76,다운로드 4만,"목, 일 연재",로맨스,"1,668",./img_data/다짜고짜 운명이래.jpg
선남친 후연애,왕기대,우렁,9.95,다운로드 111만,"월, 금 연재",로맨스,"6,341",./img_data/선남친 후연애.jpg
아주 은밀한 연애,Lunar 이지연,NOVA,9.95,다운로드 213만,"화, 금 연재",로맨스,"7,702",./img_data/아주 은밀한 연애.jpg
스캔들,달콤J,NOVA,9.92,다운로드 458만,"화, 토 연재",로맨스,"10,185",./img_data/스캔들.jpg
